Week,Date,Class,Topic,Readings,Assignment,Quiz,Project
1,5-Jan,Lecture,Intro to class. Data analysis framework.,Handout 1; Duarte & deSouza,,,
1,7-Jan,Lecture,Intro to R,,,,
1,8-Jan,Lab,Intro to R,,,,
2,12-Jan,Lecture,Data wrangling,Handout 2,,,
2,14-Jan,Lecture,Data wrangling in R,,HW 1 due,,
2,15-Jan,Lab,Data wrangling in R,,,,
3,19-Jan,NONE,HOLIDAY,Handout 3,,,
3,21-Jan,Lecture,Intro to US Census. Working with U.S. Census data in R,,HW 2 due,,
3,22-Jan,Lab,Working with U.S. Census data in R,,,,
4,26-Jan,Lecture,Exploratory data analysis,Handout 4,,,
4,28-Jan,Lecture,Exploratory data analysis in R,,HW 3 due,,
4,29-Jan,Lab,Exploratory data analysis in R,,,,
5,2-Feb,Lecture,Intro to spatial data,Handout 5,,Q 1,
5,4-Feb,Lecture,Spatial data in R,,HW 4 due,,
5,5-Feb,Lab,Spatial data in R,,,,
6,9-Feb,Lecture,Exploratory spatial data analysis,Handout 6,,,
6,11-Feb,Lecture,Exploratory spatial data analysis in R,,HW 5 due,,
6,12-Feb,Lab,Exploratory spatial data analysis in R,,,,
7,16-Feb,NONE,HOLIDAY,Handout 7,,,
7,18-Feb,Lecture,Measuring segregation,,HW 6 due,,
7,19-Feb,Lab,Segregation in R,,,,
8,23-Feb,Lecture,Big data and open data,Handout 8,,,
8,25-Feb,Lecture,Working with open data in R,,HW 7 due,,
8,26-Feb,Lab,Working with open data in R,,,,Proposal
9,2-Mar,Lecture,Story Maps using ArcGIS online,,,,
9,4-Mar,Lecture,Final project in-class workshop,Lung-Amam & Dawkins; Davis et al. ,HW 8 due,Q 2,
9,5-Mar,Lab,Story Maps using ArcGIS online,,,,
10,9-Mar,Lecture,Guest Lecture (tentative),,,,
10,11-Mar,Lecture,Application related to guest lecture (tentative),,,,
10,12-Mar,Lab,Lab related to guest lecture (tentative),,,,
Finals,18-Mar,,StoryMap due 5:00 pm,,,,StoryMap
Finals,19-Mar,,StoryMap eval due 5:00 pm,,,,StoryMap peer evals